c_custkey|c_name|revenue|c_acctbal|n_name|c_address|c_phone|c_comment
90994|Customer#000090994|730322.8364|7964.20|JORDAN|mbcZQRERKupszUDzRMayQwDEX8P2epkh5|23-191-141-7416|endencies affix furiously according t
146756|Customer#000146756|703786.0197|107.25|EGYPT|WWH fjsDkKovu8jiTYZmxC3HMLIYEDnDT|14-321-449-8957|xes believe blithely platelets. even, final accounts nag carefully against the
36376|Customer#000036376|690104.3892|8597.08|EGYPT|wSVoQsr2bzDnLFCak94dBAaFWg|14-523-414-8389|blithely pending instructions haggle slyly final fox
137710|Customer#000137710|654322.3938|512.19|RUSSIA|PgiBYM2Y5hDMvxNKzwvV3Y5vDiGvkYvZuahwrC|32-925-523-8947| ironic, unusual packages are fluffily. quickly express accounts 
84055|Customer#000084055|641329.6081|4318.55|MOROCCO|sRYQ4pRu5T0ftDC1ndlMeBkCT5k|25-505-122-1521|pecial foxes above the slyly even ideas are blithely along the slyly final packages. quickly ironic depo
125341|Customer#000125341|634427.6468|4983.51|GERMANY|S29ODD6bceU8QSuuEJznkNaK|17-582-695-5962|arefully even depths. blithely even excuses sleep furiously. foxes use except the dependencies. ca
91972|Customer#000091972|626473.9908|5606.88|JAPAN|pHQJB6ypmme07bk|22-975-188-8726|ong the furiously regular instructions are carefully quickly final packages. blithely iro
138763|Customer#000138763|610154.3430|9858.75|ALGERIA|uPDjizkE4zHPf,ovWhk9qmoLH4rxal v8fZ1|10-841-461-4873| detect. carefully bold ideas against the final ideas are blithely a
64298|Customer#000064298|609078.1864|7003.85|PERU|,y0LFOyyvAI8vDYhp 8jkz|27-265-117-6068|y final requests. ironic packages wake carefully. fi
148126|Customer#000148126|601322.9515|6193.01|BRAZIL|hevm3Xlpx6E9e6Ha55JlnJbTS46Ue3u4|12-508-455-5443|o beans haggle blithely. even courts cajole slyly thinly ironic foxes. slyly regular requests boost quickly 
148015|Customer#000148015|598849.0336|264.75|SAUDI ARABIA|Y4T GZ1q2xh1V1,5iwGdxPCFrhTc,lbya|30-919-347-1671|ct furiously ironic, ironic asymptotes. special foxes about the
36985|Customer#000036985|598730.6070|9233.98|ARGENTINA|gWKSR2kLaF8EplJEfZ0Rd0WpU65Ll6nP75VT|11-601-462-5744|ve the sly, unusual packages. slyly ironic foxes sleep. final dependencies need
53806|Customer#000053806|595638.9198|1026.26|ETHIOPIA|7b4rt2hZ JbYCrKJMLp,xyeo6Be6i4EywxH2lDDj|15-204-530-5443|ely final ideas. fluffily ironic ideas sleep slyly ironic theod
122599|Customer#000122599|594108.8847|9369.27|KENYA|BNLnvWiOdp5MFpSq6ZIQL04fWvOwBL0K|24-516-880-5086|sits sleep furiously ironic packages. carefully unusual ideas i
119503|Customer#000119503|593134.2513|6581.07|CHINA|UGx2sFT9srBiXCZ2OP9GtC48xmMj|28-562-176-7568|onic excuses. final theodolites wake blithely ironic requests. bli
120412|Customer#000120412|586708.4167|3816.86|MOZAMBIQUE|TUCXXTqfjkbbnR8 4Q,WrZZ9SkiVTuhZ|26-942-947-6036|ously ironic packages. regular ac
41326|Customer#000041326|584253.2308|6150.39|ARGENTINA|e8scpD1KJhadg,7T6GTOi3q0DtSgU21we|11-827-403-2570|eas. furiously regular requests nag fluffily fluffily pending accounts. b
15127|Customer#000015127|577445.1836|7061.58|VIETNAM|zQUuuAQrB5scfoLJE8ZHH41iMDwQnN8|31-903-342-2961| accounts are blithely final requests. carefully p
61858|Customer#000061858|571051.0927|-574.88|BRAZIL|ynwNnff2igX6G9L3mFnXpB3MElZjDhnq|12-390-479-1121|ly final theodolites nag blithely blithely even foxes. accou
134533|Customer#000134533|570965.5790|3241.99|CANADA|L3Lyp3wAVP6|13-127-698-5142|egular foxes. furiously ironic theodolites wake along the blithely final asymptotes? slyl
